date;names
01.01.2024;Григорий, Илья, Тимофей
02.01.2024;Антон, Даниил, Иван, Игнатий
03.01.2024;Леонтий, Михаил, Никита, Петр, Сергей, Ульяна
04.01.2024;Дмитрий, Федор, Анастасия
05.01.2024;Василий, Иван, Макар, Наум, Павел
06.01.2024;Иннокентий, Николай, Сергей, Евгения, Клавдия
07.01.2024;В этот день именин нет
08.01.2024;Александр, Василий, Григорий, Давид, Дмитрий, Ефим, Иосиф, Исаакий, Константин, Леонид, Михаил, Николай, Анфиса, Мария
09.01.2024;Степан, Тихон, Федор, Антонина
10.01.2024;Александр, Аркадий, Ефим, Игнатий, Леонид, Никанор, Николай, Петр
11.01.2024;Вениамин, Георгий, Иван, Марк, Фаддей, Анна, Варвара, Евдокия, Наталья
12.01.2024;Давид, Иосиф, Лев, Макар, Яков, Ирина, Мария
13.01.2024;Михаил, Петр
14.01.2024;Александр, Богдан, Василий, Вячеслав, Григорий, Иван, Михаил, Николай, Петр, Платон, Трофим, Федот
15.01.2024;Василий, Кузьма, Марк, Модест, Петр, Сергей, Ульяна
16.01.2024;Василий, Гордей, Ирина
17.01.2024;Александр, Аристарх, Артем, Архип, Афанасий, Денис, Ефим, Иосиф, Карп, Климент, Марк, Никанор, Николай, Павел, Прохор, Семен, Степан, Терентий, Тимофей, Трофим, Фаддей, Филипп
18.01.2024;Григорий, Иосиф, Лукьян, Матвей, Роман, Семен, Сергей, Евгения, Полина, Татьяна
19.01.2024;Афанасий, Василий, Иван
20.01.2024;Афанасий, Василий, Иван
21.01.2024;Василий, Виктор, Владимир, Георгий, Григорий, Дмитрий, Евгений, Емельян, Иван, Илья, Михаил, Юлиан, Василиса, Доминика
22.01.2024;Захар, Павел, Петр, Филипп, Антонина
23.01.2024;Анатолий, Григорий, Зиновий, Макар, Павел, Петр
24.01.2024;Виталий, Владимир, Иосиф, Михаил, Николай, Степан, Терентий, Федор
25.01.2024;Галактион, Илья, Макар, Петр, Татьяна
26.01.2024;Афанасий, Максим, Петр, Яков, Марфа
27.01.2024;Адам, Андрей, Аристарх, Вениамин, Давид, Иван, Илья, Иосиф, Макар, Марк, Моисей, Павел, Сергей, Степан, Агния, Нина
28.01.2024;Вениамин, Гавриил, Герасим, Иван, Михаил, Павел, Прохор, Елена
29.01.2024;Иван, Максим, Петр, Неонила
30.01.2024;Антон, Виктор, Георгий, Иван, Павел, Савелий, Антонина
31.01.2024;Александр, Афанасий, Владимир, Дмитрий, Евгений, Емельян, Ефрем, Иларион, Кирилл, Максим, Михаил, Николай, Сергей, Ксения, Мария
01.02.2024;Антон, Арсений, Ефим, Макар, Марк, Николай, Петр, Федор
02.02.2024;Ефим, Захар, Лев, Павел, Семен, Инна, Римма
03.02.2024;Евгений, Иван, Илья, Максим, Агния, Анастасия, Анна
04.02.2024;Гавриил, Георгий, Ефим, Иван, Иосиф, Леонтий, Макар, Николай, Петр, Тимофей, Яков, Анастасия
05.02.2024;Владимир, Геннадий, Иван, Иосиф, Климент, Макар, Федор, Евдокия, Екатерина
06.02.2024;Герасим, Денис, Иван, Николай, Павел, Тимофей, Ксения
07.02.2024;Александр, Анатолий, Борис, Василий, Виталий, Владимир, Григорий, Дмитрий, Моисей, Петр, Степан, Феликс, Филипп
08.02.2024;Аркадий, Арсений, Гавриил, Давид, Иван, Иларион, Иосиф, Климент, Петр, Семен, Федор, Филипп, Мария
09.02.2024;Дмитрий, Иван, Петр
10.02.2024;Владимир, Георгий, Ефрем, Игнатий, Леонтий, Федор, Ольга
11.02.2024;Герасим, Дмитрий, Иван, Игнатий, Константин, Леонтий, Роман, Юлиан, Яков
12.02.2024;Василий, Владимир, Григорий, Иван, Максим, Петр, Степан, Федор, Пелагея
13.02.2024;Афанасий, Виктор, Иван, Илья, Никита
14.02.2024;Василий, Гавриил, Давид, Николай, Петр, Семен, Тимофей
15.02.2024;Василий
16.02.2024;Адриан, Василий, Владимир, Иван, Михаил, Николай, Павел, Роман, Семен, Тимофей, Анна
17.02.2024;Александр, Алексей, Андрей, Аркадий, Борис, Василий, Георгий, Дмитрий, Иван, Иосиф, Кирилл, Михаил, Николай, Петр, Сергей, Федор, Юрий, Анна, Екатерина
18.02.2024;Антон, Макар, Михаил, Александра, Василиса
19.02.2024;Александр, Анатолий, Арсений, Василий, Дмитрий, Иван, Максим, Севастьян, Юлиан, Кристина, Мария, Марфа
20.02.2024;Александр, Алексей, Петр
21.02.2024;Александр, Андрей, Захар, Макар, Петр, Семен, Сергей, Степан, Федор
22.02.2024;Василий, Геннадий, Иван, Иннокентий, Петр, Тихон
23.02.2024;Антон, Аркадий, Василий, Геннадий, Герман, Григорий, Иван, Карп, Марк, Петр, Порфирий, Прохор, Семен, Анна, Валентина, Галина
24.02.2024;Всеволод, Гавриил, Георгий, Дмитрий, Захар, Порфирий
25.02.2024;Алексей, Антон, Евгений, Мария
26.02.2024;Артемий, Василий, Владимир, Гавриил, Евгений, Иван, Леонтий, Мартин, Михаил, Николай, Павел, Тимофей, Анна, Вера, Зоя, Ирина, Светлана
27.02.2024;Георгий, Исаакий, Кирилл, Константин, Михаил, Рафаил, Федор
28.02.2024;Алексей, Арсений, Афанасий, Иван, Михаил, Николай, Павел, Петр, Семен, Софья
29.02.2024;В этот день именин нет
01.03.2024;Даниил, Илья, Макар, Павел, Памфил, Порфирий, Самуил, Юлиан
02.03.2024;Михаил, Николай, Павел, Порфирий, Роман, Федор, Анна, Марианна, Мария
03.03.2024;Василий, Виктор, Владимир, Кузьма, Лев, Павел, Анна
04.03.2024;Архип, Богдан, Дмитрий, Евгений, Макар, Максим, Никита, Федор, Федот
05.03.2024;Антон, Афанасий, Василий, Давид, Денис, Иван, Игнатий, Корнилий, Лев, Леонтий, Николай, Самсон, Сергей, Тихон, Федор, Филипп, Ярослав
06.03.2024;Александр, Георгий, Григорий, Даниил, Захар, Иван, Константин, Павел, Тимофей, Ольга
07.03.2024;Андрей, Афанасий, Виктор, Владимир, Иван, Иосиф, Михаил, Николай, Павел, Сергей, Степан, Федор, Филипп, Варвара, Елизавета, Ирина, Прасковья
08.03.2024;Александр, Алексей, Иван, Климент, Кузьма, Михаил, Моисей, Николай, Сергей, Федор
09.03.2024;Иван, Иларион
10.03.2024;Александр, Антон, Евгений, Николай, Тарас, Федор
11.03.2024;Иван, Николай, Петр, Порфирий, Севастьян, Сергей, Анна
12.03.2024;Макар, Михаил, Нисон, Петр, Сергей, Степан, Тимофей, Юлиан, Яков
13.03.2024;Арсений, Василий, Николай, Сергей, Кира, Марина
14.03.2024;Александр, Антон, Василий, Вениамин, Иван, Михаил, Петр, Александра, Анна, Антонина, Дарья, Евдокия, Надежда, Ольга
15.03.2024;Арсений, Иосиф, Николай, Федот
16.03.2024;Михаил, Севастьян, Марфа
17.03.2024;Александр, Василий, Вячеслав, Георгий, Герасим, Григорий, Даниил, Павел, Яков, Ульяна
18.03.2024;Адриан, Георгий, Давид, Иван, Кирилл, Константин, Марк, Николай, Федор, Ираида
19.03.2024;Аркадий, Константин, Максим, Федор, Юлиан, Елена, Марфа
20.03.2024;Василий, Евгений, Емельян, Ефрем, Николай, Павел, Анна, Антонина, Евдокия, Екатерина, Ксения, Мария, Надежда
21.03.2024;Афанасий, Владимир, Иван
22.03.2024;Александр, Алексей, Афанасий, Валерий, Дмитрий, Иван, Ираклий, Кирилл, Леонтий, Михаил, Николай, Петр, Сергей, Тарас, Александра, Наталья
23.03.2024;Виктор, Георгий, Денис, Дмитрий, Иван, Леонид, Марк, Михаил, Павел, Федор, Анастасия, Василиса, Галина, Ника
24.03.2024;Василий, Георгий, Ефим, Иван
25.03.2024;Александр, Владимир, Григорий, Дмитрий, Иван, Константин, Семен, Сергей
26.03.2024;Александр, Григорий, Михаил, Николай, Терентий, Кристина
27.03.2024;Михаил, Ростислав
28.03.2024;Александр, Алексей, Денис, Михаил, Тимофей
29.03.2024;Александр, Денис, Емельян, Иван, Павел, Роман, Трофим, Юлиан
30.03.2024;Александр, Алексей, Виктор, Гавриил, Макар, Павел
31.03.2024;Григорий, Даниил, Дмитрий, Кирилл, Трофим, Наталья
01.04.2024;Дмитрий, Иван, Иннокентий, Дарья, Софья
02.04.2024;Василий, Виктор, Виссарион, Герман, Иван, Максим, Мирон, Никита, Севастьян, Сергей, Александра, Клавдия, Мария, Прасковья, Светлана, Ульяна
03.04.2024;Владимир, Кирилл, Яков
04.04.2024;Василий, Исаакий, Василиса, Дарья, Полина, Таисия
05.04.2024;Алексей, Василий, Георгий, Илья, Макар, Сергей, Анастасия, Варвара, Лидия, Пелагея
06.04.2024;Владимир, Захар, Мартин, Петр, Степан, Яков
07.04.2024;Тихон
