1;Праздники России;./gif_types/1.gif;#ff2b4e
2;Военные праздники;./gif_types/2.gif;#ababab
3;Дни рождений руководящего состава МО РФ;./gif_types/3.gif;#4b27ff
4;Праздники Беларуси;0;#ababab
5;Международные праздники;./gif_types/5.gif;#ababab
6;Праздники Литвы;0;#ababab
7;Католические праздники;./gif_types/7.gif;#ababab
8;Праздники Кубы;0;#ababab
9;Православные праздники;./gif_types/9.gif;#ababab
10;Праздники Камеруна;0;#ababab
11;Праздники НовойЗеландии;0;#ababab
12;Праздники Японии;0;#ababab
13;Праздники славян;0;#ababab
14;Праздники Сербии;0;#ababab
15;Праздники Швейцарии;0;#ababab
16;Праздники Индии;0;#ababab
17;Праздники Эстонии;0;#ababab
18;Праздники США;0;#ababab
19;Праздники ООН;./gif_types/19.gif;#ababab
20;Праздники зороастризма;0;#ababab
21;Праздники Болгарии;0;#ababab
22;Праздники Армении;0;#ababab
23;Праздники Ямайки;0;#ababab
24;Праздники Греции;0;#ababab
25;Праздники Кипра;0;#ababab
26;Праздники Аргентины;0;#ababab
27;Языческие праздники;0;#ababab
28;Праздники Хорватии;0;#ababab
29;Праздники Панамы;0;#ababab
30;Праздники Казахстана;0;#ababab
31;Праздники Албании;0;#ababab
32;Праздники Швеции;0;#ababab
33;Праздники Узбекистана;0;#ababab
34;Праздники Таиланда;0;#ababab
35;Праздники Иордании;0;#ababab
36;Праздники Австралии;0;#ababab
37;Праздники Перу;0;#ababab
38;Праздники бахаи;0;#ababab
39;Праздники Азербайджана;0;#ababab
40;Праздники Исландии;0;#ababab
41;Праздники Латвии;0;#ababab
42;Праздники Испании;0;#ababab
43;Праздники Польши;0;#ababab
44;Праздники Украины;0;#ababab
45;Праздники Китая;0;#ababab
46;Праздники Великобритании;0;#ababab
47;Лютеранские праздники;./gif_types/47.gif;#ababab
48;Праздники индуизма;./gif_types/48.gif;#ababab
49;Мусульманские праздники;./gif_types/49.gif;#ababab
50;Праздники Вьетнама;0;#ababab
51;Праздники Грузии;0;#ababab
52;Праздники Туркменистана;0;#ababab
53;Праздники Молдавии;0;#ababab
54;Праздники Ирландии;0;#ababab
55;Праздники Канады;0;#ababab
56;Праздники Франции;0;#ababab
57;Праздники Италии;0;#ababab
58;Праздники Финляндии;0;#ababab
59;Еврейские праздники;0;#ababab
60;Праздники Мексики;0;#ababab
61;Праздники Словении;0;#ababab
62;Праздники Ливана;0;#ababab
63;Праздники Чехии;0;#ababab
64;Праздники Германии;0;#ababab
65;Праздники Бразилии;0;#ababab
66;Праздники Португалии;0;#ababab
67;Праздники Нидерландов;0;#ababab
68;Праздники Люксембурга;0;#ababab
69;Праздники Норвегии;0;#ababab
70;Буддийские праздники;./gif_types/70.gif;#ababab
71;Праздники Дании;0;#ababab
72;Праздники Кыргызстана;0;#ababab
73;Праздники Египта;0;#ababab
74;Праздники Кувейта;0;#ababab
75;Праздники Коми;0;#ababab
76;Праздники ЮжнойКореи;0;#ababab
77;Праздники Боснии;0;#ababab
78;Праздники Эфиопии;0;#ababab
79;Праздники Турции;0;#ababab
80;Праздники Сирии;0;#ababab
81;Праздники Венгрии;0;#ababab
82;Праздники ЮжнойОсетии;0;#ababab
83;Праздники Туниса;0;#ababab
84;Праздники Таджикистана;0;#ababab
85;Праздники Мадагаскара;0;#ababab
86;Праздники Коста-Рики;0;#ababab
87;Праздники Зимбабве;0;#ababab
88;Праздники Нигерии;0;#ababab
89;Праздники Черногории;0;#ababab
90;Праздники Абхазии;0;#ababab
91;Праздники Эквадора;0;#ababab
92;Праздники Бельгии;0;#ababab
93;Праздники Румынии;0;#ababab
94;Праздники Австрии;0;#ababab
